,INF,BR,DY,CD,CP,T1,T3,T5,T10,AAA,BBB,UR,USDKRW,CIL,CIC,EAI,PPI,M1Y,M2Y,M1M,M2M,DFTP,TE1,TE2,TE3,TE4,TE5,TE6,DE1,DE2,DE3,DE4,DE5,DE6
2004-01,3.395075179777729,3.75,1.99,4.26,4.53,4.6,4.88,5.16,5.42,5.67,9.99,-5.128205128205121,-2.020370679579231,0.09999999999999432,0.29999999999999716,0.3829596412556051,3.5426731078904927,5.758505534742575,3.314473766169046,1.1692526809246706,0.9952847278155819,0.25,1.67,0.8200000000000003,0.54,0.2599999999999998,0.5099999999999998,-0.8499999999999996,4.32,4.57,4.83,5.11,5.390000000000001,6.24
2004-02,3.2855099475532112,3.75,1.99,4.08,4.36,4.42,4.83,5.13,5.43,5.63,10.03,-5.405405405405405,0.07668711656443339,0.20000000000000284,0.30000000000001137,0.25015346838551245,4.006410256410264,5.509366697299267,3.05862888575843,-0.0373094116571715,0.4257714602604601,0.20000000000000018,1.6799999999999997,1.0099999999999998,0.5999999999999996,0.2999999999999998,0.33000000000000007,-0.6699999999999999,4.3999999999999995,4.6,4.8999999999999995,5.199999999999999,5.609999999999999,6.279999999999999
2004-03,3.065653825284853,3.75,1.83,3.93,4.17,4.25,4.58,4.88,5.26,5.37,9.85,0.0,-1.7794806300553523,0.29999999999999716,0.5,0.42590837282780436,6.320907617504035,6.241978627383626,2.1902738216974083,0.9640269901628917,0.05781106410380765,0.11000000000000032,1.5099999999999998,1.0099999999999998,0.6799999999999997,0.3799999999999999,0.18000000000000016,-0.5,4.4799999999999995,4.59,4.97,5.27,5.6,6.1
2004-04,3.2514161469359593,3.75,2.21,3.91,4.14,4.13,4.54,4.88,5.25,5.29,9.76,2.857142857142869,1.2222607489597914,0.09999999999999432,0.19999999999998863,0.41533725160929214,4.65489566613162,7.379379866144364,2.6636074891454253,1.1794286610220306,0.7967761842254006,0.040000000000000036,1.5,1.12,0.71,0.3700000000000001,0.16000000000000014,-0.3799999999999999,4.47,4.51,4.88,5.22,5.63,6.01
2004-05,3.34900117508814,3.75,2.39,3.9,4.09,4.07,4.39,4.75,5.16,5.07,9.54,0.0,-0.171276869058834,0.0,0.0,0.39574587181640086,5.448717948717952,8.544565412873117,2.6299433619107804,0.9847700783788493,0.6953471268098088,-0.08999999999999986,1.4100000000000001,1.0899999999999999,0.7700000000000005,0.41000000000000014,0.1499999999999999,-0.3200000000000003,4.469999999999999,4.379999999999999,4.789999999999999,5.1499999999999995,5.469999999999999,5.789999999999999
2004-06,3.6311645016668503,3.75,2.42,3.91,4.02,4.12,4.28,4.58,5.01,4.91,9.37,2.77777777777779,-1.1323668182208202,-0.29999999999999716,-0.3999999999999915,0.46340749414519933,5.288461538461542,9.703742556227812,3.0849656812720117,0.5729564553093924,0.2636508616272959,-0.09999999999999964,1.2599999999999998,0.8899999999999997,0.7299999999999995,0.4299999999999997,0.16000000000000014,-0.3700000000000001,4.459999999999999,4.359999999999999,4.789999999999999,5.089999999999999,5.249999999999999,5.619999999999999
2004-07,4.359269380123698,3.75,2.52,3.91,4.02,4.06,4.19,4.47,4.88,4.77,9.22,-5.405405405405405,1.3709327548806938,-0.29999999999999716,-0.20000000000000284,0.38328611898016995,2.527646129541883,9.526966364765954,4.314075456416044,0.28775629990973606,0.8232655216373397,-0.11000000000000032,1.13,0.8200000000000003,0.6899999999999995,0.41000000000000014,0.16000000000000014,-0.3099999999999996,4.450000000000001,4.340000000000001,4.750000000000001,5.03,5.160000000000001,5.470000000000001
2004-08,4.790607774357514,3.5,2.33,3.7,3.84,3.73,3.82,4.01,4.33,4.38,8.8,8.571428571428562,-1.2411195754515103,-0.4000000000000057,-0.4000000000000057,0.37088292277885415,3.343949044585992,9.319256488601347,4.4235347187290275,0.47723408175965876,0.1740143859400689,0.04999999999999982,0.8300000000000001,0.6000000000000001,0.5100000000000002,0.3200000000000003,0.20000000000000018,-0.22999999999999998,4.420000000000001,4.470000000000001,4.790000000000001,4.98,5.07,5.300000000000001
2004-09,3.850901712615462,3.5,2.22,3.52,3.69,3.5,3.59,3.75,4.14,4.1,8.52,0.0,-0.5113537874848251,-0.29999999999999716,-0.5,0.3125351320966836,2.2012578616352085,9.669384689164161,4.756161886813959,0.14753194812333614,0.6059762195278262,-0.040000000000000036,0.6399999999999997,0.6399999999999997,0.5499999999999998,0.3899999999999997,0.020000000000000018,0.0,4.42,4.38,4.77,4.93,5.02,5.02
2004-10,3.75962233657976,3.5,2.22,3.52,3.67,3.48,3.54,3.67,4.05,4.01,8.4,-2.631578947368407,-1.907831692656159,0.0,-0.09999999999999432,0.24817150063051718,3.1446540880503138,8.35880797302655,5.548706367955769,0.5206354502626631,1.0276456527097633,-0.040000000000000036,0.5499999999999998,0.5699999999999998,0.5099999999999998,0.3799999999999999,0.020000000000000018,0.020000000000000018,4.390000000000001,4.3500000000000005,4.73,4.86,4.92,4.9
2004-11,3.3189893911635737,3.25,2.1,3.42,3.57,3.34,3.42,3.53,3.96,3.86,8.26,0.0,-6.936056838365889,0.0,-0.09999999999999432,0.17414132574928898,1.869158878504673,7.873350505855847,6.255057617634696,0.7412509886804308,0.8877846385710431,-0.10000000000000009,0.71,0.6200000000000001,0.54,0.43000000000000016,0.16999999999999993,-0.08999999999999986,4.4,4.3,4.73,4.84,4.92,5.01
