date,p(t)
2004-01,0.07106994344644052
2004-02,0.0623296029097905
2004-03,0.015143737060041428
2004-04,-0.012991226935678548
2004-05,-0.054785563463819735
2004-06,-0.0017134450419307977
2004-07,-0.04446618556701029
2004-08,0.10176348098387046
2004-09,0.0667790998477338
2004-10,0.02213095149657966
2004-11,0.06924927308084092
2004-12,0.03446666666666662
2005-01,0.06816185104844541
2005-02,0.09731654551462078
2005-03,-0.03155183034008401
2005-04,-0.03534860020302401
2005-05,0.08562185604127691
2005-06,0.059167854854213414
2005-07,0.12884912694120362
2005-08,-0.0034902363010511864
2005-09,0.14411844052632836
2005-10,-0.038653253464508666
2005-11,0.13232831900026862
2005-12,0.08397281761574783
2006-01,0.03176848099720076
2006-02,-0.004668488790478923
2006-03,0.00638289236404632
2006-04,0.05778868159203972
2006-05,-0.05887440430925224
2006-06,-0.0074088839833927975
2006-07,0.02093005772867524
2006-08,0.05543229185211565
2006-09,0.028569072047423698
2006-10,0.006585908452681785
2006-11,0.05941277237427433
2006-12,0.015046752450980274
2007-01,-0.038132906755128704
2007-02,0.05430650321040956
2007-03,0.036678020378457084
2007-04,0.07313283582089562
2007-05,0.10356342021321234
2007-06,0.034145159390159455
2007-07,0.11480455130811978
2007-08,-0.015378585461689557
2007-09,0.04702365564322081
2007-10,0.06247182847896452
2007-11,-0.06270835957299754
2007-12,0.006750947322006862
2008-01,-0.12956460673381134
2008-02,0.05521685076446704
2008-03,0.014979332872185131
2008-04,0.09353804847231793
2008-05,0.022823095035461028
2008-06,-0.0887667670344479
2008-07,-0.03021043461970778
2008-08,-0.05915289535567311
2008-09,0.0043168465989274415
2008-10,-0.1931664951952274
2008-11,-0.024862919774011324
2008-12,0.06310415304042843
2009-01,0.05655371540826798
2009-02,-0.06498185202317244
2009-03,0.1638669829313633
2009-04,0.14385317761076796
2009-05,0.028191420454545386
2009-06,0.014413678418205674
2009-07,0.14662420665958992
2009-08,0.03255756470897381
2009-09,0.06933196908342976
2009-10,-0.04989371558589305
2009-11,-0.00022166561900618421
2009-12,0.09350970451770459
2010-01,-0.0430133101956189
2010-02,2.9218566764969284e-05
2010-03,0.07307752927625263
2010-04,0.03976347368896099
2010-05,-0.0492371079184031
2010-06,0.041492145656433665
2010-07,0.04919978869519284
2010-08,-0.00020056197746272982
2010-09,0.08172782909336737
2010-10,0.009833322014131857
2010-11,0.03750798693994018
2010-12,0.09605780590717306
2011-01,0.015904111201248843
2011-02,-0.05286407439953131
2011-03,0.09683829770635041
2011-04,0.051475940402337945
2011-05,-0.016669662924572688
2011-06,-0.01704983849672269
2011-07,0.017334211275453953
2011-08,-0.11609410252246406
2011-09,-0.0363097993062438
2011-10,0.09760204671382895
2011-11,-0.022988631876634108
2011-12,-0.0005429723454537286
2012-01,0.09175403225806436
2012-02,0.05134547100038933
2012-03,0.00897079168694389
2012-04,0.002229347662990618
2012-05,-0.06618829676565163
2012-06,0.015225061462814972
2012-07,0.0329101749013203
2012-08,0.013329398592450373
